n,article,author_class,tier,position_band,position_frac,question
1,Croatian_Americans,normal,,lead,0.0812,What was the recorded population of Croatian Americans in the 1990 census?
2,Temple_menorah,normal,,lead,0.1068,How many cups shaped like almond blossoms were featured on the Temple menorah's central shaft?
3,Qatar_diplomatic_crisis,anomalous,untiered,late,0.8087,What standards does the UAE commit to regarding nuclear matters during the Qatar diplomatic crisis?
4,Shepard_Fairey,normal,,late,0.9849,What publishing company released Shepard Fairey's book about supply and demand in 2006?
5,Temple_menorah,normal,,mid,0.369,What time period does Yonatan Adler suggest the Temple menorah first appeared based on non-biblical evidence?
6,Eurasian_magpie,anomalous,untiered,late,0.8261,What reputation does the Eurasian magpie have in British folklore?
7,Betelgeuse,anomalous,untiered,late,0.9701,What was the death toll when the Betelgeuse exploded near Whiddy Island?
8,Council_of_State_(Ireland),normal,,lead,0.0044,What body does the Council of State (Ireland) provide guidance to?
9,Telegraphy,normal,,mid,0.4571,What early telegraphy device was the first to utilize punched tape technology?
10,Alex_Kozinski,normal,,late,0.7961,What type of workplace behavior did former clerks attribute to Alex Kozinski beyond sexual misconduct?
11,Adrian_Cheng,anomalous,untiered,lead,0.2642,What did Adrian Cheng donate to the government for public housing purposes?
12,Abbot,normal,,lead,0.3118,What minimum requirement did an Abbot need to meet regarding age or qualifications?
13,Temple_menorah,normal,,late,0.6848,What is the total number of decorative units found on the Temple menorah's shaft and three branches?
14,Annie_Besant,normal,,late,0.6785,What political organization did Annie Besant become a member of?
15,"Embassy_of_the_United_Kingdom,_Berlin",anomalous,untiered,mid,0.497,"What date did construction begin at the site of the Embassy of the United Kingdom, Berlin?"
16,"Embassy_of_the_United_Kingdom,_Berlin",anomalous,untiered,lead,0.1012,"What year was the building at the Embassy of the United Kingdom, Berlin site constructed?"
17,Yannick_Bisson,anomalous,untiered,late,0.8729,What role did Dominique Bisson play in an episode of the show featuring Yannick Bisson?
18,Pipe_organ,normal,,late,0.9356,"What historical figure wrote about the Pipe organ in ""De Organographia""?"
19,Elektra_(wrestling),normal,,lead,0.2771,What physical ability was Elektra (wrestling) known for demonstrating during her promos?
20,List_of_India_national_cricket_captains,normal,,late,0.7409,"Who led India to victory in the 2026 T20 World Cup, according to the List of India national cricket captains?"
21,Canada_jay,normal,,late,0.7191,What do Canada jays typically do with large food items they collect?
22,2020_Nice_stabbing,anomalous,untiered,lead,0.0794,What law related to the separation of church and state in France did officials vow to strengthen following the 2020 Nice stabbing crisis?
23,Franklin_D._Roosevelt,anomalous,untiered,mid,0.4134,What did Franklin D. Roosevelt instruct the FBI to search for during his campaign against big business?
24,Scion_(automobile),normal,,mid,0.4372,What pricing display methods were associated with Scion (automobile) dealerships?
25,Lumbar_spinal_stenosis,normal,,mid,0.6292,What surgical procedure for Lumbar spinal stenosis involves removing facet joints after decompression and substituting them with an implant to maintain both stability and mobility?
26,Jimmy_Bain,normal,,late,0.7557,What restriction was placed on Jimmy Bain's daily schedule while he was in court-ordered rehab during the album recording?
27,Atmosphere,anomalous,untiered,late,0.8271,What percentage of oxygen has the Atmosphere potentially lost through polar auroral regions over the last 3 billion years?
28,Croatian_Americans,normal,,late,0.9172,"What religious role did John E. Kozar hold within the Catholic Near East Welfare Association, and what is his connection to Croatian Americans?"
29,Domestic_violence,normal,,lead,0.2288,What type of software can be used to monitor a domestic violence victim's routine throughout the day?
30,Atmosphere,anomalous,untiered,late,0.6795,What causes the Atmosphere to circulate on planets that receive most of their heat from the Sun?
31,Cato_the_Elder,anomalous,untiered,late,0.689,What year was the aqueduct that Cato the Elder's contemporary Appius Claudius Caecus built completed?
32,Eurasian_magpie,anomalous,untiered,late,0.7649,What tool-related behavior have Eurasian magpies demonstrated while living in captivity?
33,Shepard_Fairey,normal,,lead,0.0592,"What street art campaign helped make Shepard Fairey's ""Obey Giant"" image globally recognized?"
34,USS_Iowa_(BB-61),normal,,lead,0.1499,What was the firing distance when USS Iowa (BB-61) began its attack on the Japanese group?
35,Nancy_Raven,anomalous,untiered,lead,0.302,"What surname did Nancy Raven sometimes use, adopted from her second marriage?"
36,Osijek_Airport,normal,,lead,0.328,What is the planned increase in check-in counter capacity at Osijek Airport as part of the terminal expansion?
37,Lumbar_spinal_stenosis,normal,,late,0.7513,What happens to workers with Lumbar spinal stenosis who undergo more than two major spinal surgeries within a compensation system?
38,Enzo_Ferrari,normal,,mid,0.5763,What type of accident ended Didier Pironi's racing career while driving for Enzo Ferrari's team?
39,Kay_Tagal_Kang_Hinintay,normal,,mid,0.416,What subject did someone teach the main character in Kay Tagal Kang Hinintay?
40,2000–01_Derby_County_F.C._season,normal,,late,0.7897,How many appearances did Horacio Carbonari make for Derby County F.C. during the 2000–01 Derby County F.C. season?
41,Filipino_cuisine,normal,,mid,0.5795,What spices and seasonings are combined with vinegar in Filipino cuisine's paksiw-based vegetable preparations?
42,2020_Nice_stabbing,anomalous,untiered,late,0.7968,What did Turkey say could not justify the killings during the 2020 Nice stabbing?
43,Bloomberg_L.P.,normal,,mid,0.5119,What criteria does Bloomberg L.P. use to evaluate countries in its annual innovation ranking?
44,Domestic_violence,normal,,mid,0.3938,What is the primary goal of domestic violence behaviors toward the victim and family?
45,Bronson_Koenig,anomalous,untiered,lead,0.1022,What state title achievement did Bronson Koenig accomplish during his senior year?
46,Mars_Science_Laboratory,normal,,late,0.9287,What was the distance between the Mars Science Laboratory rover's actual touchdown point and the intended center of its target landing zone?
47,Telegraphy,normal,,lead,0.2797,What type of display did the Telegraphy system developed by Cooke and Wheatstone utilize?
48,Al_Green,normal,,mid,0.345,What personal factors contributed to Al Green's decline in record sales?
49,Personal_life_of_Osama_bin_Laden,normal,,late,0.7663,What types of videos were discovered on the hard drive belonging to the subject of Personal life of Osama bin Laden?
50,"Embassy_of_the_United_Kingdom,_Berlin",anomalous,untiered,late,0.9777,"What did the old Embassy of the United Kingdom, Berlin look like in photographs?"
51,Domestic_violence,normal,,lead,0.3158,What is one reason a spouse might engage in domestic violence according to relationship dynamics?
52,François_Rabelais,anomalous,untiered,late,0.7071,"What has the reception of François Rabelais's work been characterized by, compared to other Renaissance writers?"
53,Nephila,normal,,lead,0.1227,What color are the legs of the Nephila inaurata spider?
54,Abbot,normal,,late,0.8132,What term was considered broadly usable for describing any member of the Abbot's clergy?
55,Eurasian_magpie,anomalous,untiered,late,0.747,What does the Eurasian magpie's intelligence suggest about how cognitive abilities developed across different animal groups?
56,Conon_(crater),anomalous,untiered,lead,0.2453,What is the shape of Conon (crater)'s interior floor?
57,Adrian_Cheng,anomalous,untiered,lead,0.2719,What type of housing project did Adrian Cheng plan to donate a portion of land toward?
58,Lika,normal,,lead,0.0118,What natural feature marks Lika's south-eastern boundary?
59,Adrian_Cheng,normal,,lead,0.0565,What type of academic honor did Adrian Cheng receive from SCAD?
60,Deng_Adel,anomalous,untiered,mid,0.5786,What was Deng Adel's average number of assists per game?
61,Encke_(crater),anomalous,untiered,lead,0.1939,What is the shape of Encke (crater)'s rim?
62,Alex_Kozinski,anomalous,untiered,mid,0.4637,What action did Alex Kozinski take regarding the case in June 2008?
63,Masoretic_Text,normal,,mid,0.517,What type of notes in the Masoretic Text were only allowed in personal copies?
64,Methodist_College_Belfast,normal,,late,0.9308,What year did Methodist College Belfast's Fullerton House receive its name?
65,Encke_(crater),anomalous,untiered,lead,0.0266,What lunar mare is Encke (crater) situated on the western edge of?
66,Eurasian_magpie,anomalous,untiered,late,0.7169,What cognitive ability level has research suggested the Eurasian magpie's corvid family possesses?
67,List_of_Bob_the_Builder_characters,anomalous,untiered,mid,0.5401,What catchphrase does a character from List of Bob the Builder characters typically say in reply to a repair-related question?
68,USS_Iowa_(BB-61),normal,,late,0.9452,What legislative body initially included a specific group in its version of SR19 regarding USS Iowa (BB-61)?
69,Casperius_Aelianus,anomalous,untiered,lead,0.0213,What military rank did Casperius Aelianus reportedly hold while serving under the general Vespasian in Judaea?
70,Ring_of_Nestor,anomalous,untiered,mid,0.6085,What museum holds the Ring of Nestor as of 2018?
71,1987_ARIA_Music_Awards,normal,,lead,0.078,What hotel hosted the first 1987 ARIA Music Awards ceremony?
72,Trump_International_Hotel_and_Tower_(Chicago),normal,,lead,0.1059,What is located beneath the main Wabash entrance of Trump International Hotel and Tower (Chicago)?
73,Casperius_Aelianus,anomalous,untiered,mid,0.4477,What reason does historian Brian Jones suggest led to Casperius Aelianus receiving his promotion under Domitian?
74,Salvatore_Ronald_Matano,normal,,mid,0.3718,What role did Salvatore Ronald Matano take on when he went back to Washington in early 2000?
75,Betelgeuse,normal,,late,0.6997,How long does it take for Betelgeuse-like slow-rotating stars to reach the red supergiant phase?
76,Phil_Davies_(rugby_union),normal,,lead,0.3239,What position did Phil Davies (rugby union) hold at Cardiff RFC between late 2008 and mid-2009?
77,John_William_Draper,normal,,late,0.9017,What institution holds the John William Draper family papers?
78,Domestic_violence,normal,,mid,0.6385,What percentage of domestic violence victims show signs of depression?
79,Cato_the_Elder,normal,,late,0.8864,What type of primary sources did Cato the Elder leave behind that reflected his political views and concerns about Roman society?
80,Betelgeuse,anomalous,untiered,mid,0.3755,What planet's orbital distance could be used to compare the size of Betelgeuse?
81,Qatar_diplomatic_crisis,anomalous,untiered,late,0.9067,What happened to fans displaying Qatari symbols during the final of the Qatar diplomatic crisis?
82,Bobo_Baldé,anomalous,untiered,mid,0.6388,What injury setback did Bobo Baldé experience while representing Guinea in international competition?
83,1994–95_Blackburn_Rovers_F.C._season,normal,,mid,0.4205,What was the name of the Chelsea player who scored the equalizing goal against Blackburn Rovers in the 1994–95 Blackburn Rovers F.C. season?
84,Filipino_cuisine,normal,,late,0.8787,What type of trees are used to harvest tamilok in Filipino cuisine?
85,Kraven_the_Hunter_(film),normal,,late,0.808,What grade did CinemaScore assign to the Kraven the Hunter (film)?
86,Croatian_Americans,normal,,late,0.6926,What year did Croatian Americans establish Croatian Radio New York in Manhattan?
87,"Embassy_of_the_United_Kingdom,_Berlin",anomalous,untiered,late,0.8854,"What language was the original source material for the Embassy of the United Kingdom, Berlin article translated from?"
88,"Embassy_of_the_United_Kingdom,_Berlin",anomalous,untiered,late,0.9092,"What is one of the publishers associated with a book about the Embassy of the United Kingdom, Berlin?"
89,Nancy_Raven,anomalous,untiered,mid,0.5906,What relation was Nancy Raven to Watt Sam in terms of their biological family connection?
90,Bronson_Koenig,anomalous,untiered,lead,0.1995,What position did Bronson Koenig begin starting after Traevon Jackson got hurt?
91,Casperius_Aelianus,anomalous,untiered,late,0.7519,What historical figure do some historians suggest may have secretly directed Casperius Aelianus to carry out his actions?
92,Lithuania_in_the_Eurovision_Song_Contest_2019,normal,,late,0.6718,Which semi-final placement allows Lithuania in the Eurovision Song Contest 2019 to advance to the final round?
93,Nancy_Raven,anomalous,untiered,mid,0.5168,What was Nancy Raven's husband's last name after she married Albert?
94,Betelgeuse,normal,,mid,0.3867,What is the maximum percentage difference in reported diameter measurements of Betelgeuse?
95,Alex_Kozinski,normal,,late,0.9142,What social media company is Alex Kozinski helping Trump sue in an appellate case?
96,Mauro_Ranallo,anomalous,untiered,mid,0.5519,What role did Mauro Ranallo take on after reaching a new contract deal?
97,Abbot,normal,,late,0.8423,"What honorary title is given to celibate priests in the Eastern church, comparable to the role an Abbot holds in monasteries?"
98,Deng_Adel,anomalous,untiered,mid,0.3561,What was Deng Adel's average points scored each game during his junior year?
99,Padayappa,normal,,late,0.7162,What myth about snakes is depicted in Padayappa that animal experts have criticized as biologically impossible?
100,Nancy_Raven,anomalous,untiered,late,0.7013,What relation was Nancy Raven's son Adam Levi to her in Natchez kinship terms?
101,Phil_Davies_(rugby_union),normal,,lead,0.17,In what year did Phil Davies (rugby union) begin his coaching career at Leeds?
102,List_of_India_national_cricket_captains,normal,,lead,0.1791,Who appoints the captains for India's national cricket teams in the List of India national cricket captains?
103,Temple_menorah,normal,,lead,0.0442,What city did the Vandals bring the Temple menorah to after attacking Rome?
104,Conon_(crater),anomalous,untiered,lead,0.0248,What mountain range contains the foothills where Conon (crater) is situated?
105,MacOS_version_history,normal,,lead,0.2149,What was the initial development approach considered for the MacOS version history's new operating system?
106,Bronson_Koenig,anomalous,untiered,lead,0.0324,What high school did Bronson Koenig attend in his hometown?
107,German_Navy,normal,,late,0.9339,What academic journal published Werner Rahn's study on the German Navy's historical evolution?
108,Phil_Davies_(rugby_union),normal,,late,0.8992,What year did Phil Davies (rugby union) lead Leeds Tykes to win National Division One?
109,Eurasian_magpie,anomalous,untiered,late,0.7278,What type of reasoning ability has been observed in the Eurasian magpie as part of its social cognition?
110,Air_gun,anomalous,untiered,late,0.9946,What type of technology is an air gun classified as?
111,Macaulay_Culkin,normal,,late,0.7892,What family relationship did Macaulay Culkin become distanced from during his childhood?
112,"Embassy_of_the_United_Kingdom,_Berlin",anomalous,untiered,lead,0.2842,"What happened to the Embassy of the United Kingdom, Berlin's building after it sustained damage from wartime bombing?"
113,Pipe_organ,normal,,late,0.8349,What type of organs did Max Reger and Sigfrid Karg-Elert utilize when composing their pipe organ symphonic pieces?
114,Bronson_Koenig,anomalous,untiered,lead,0.1234,What was Bronson Koenig's three-point shooting percentage during his senior season?
115,JWoww,normal,,lead,0.1665,What percentage of British/Irish ancestry does JWoww have according to her ancestry test?
116,Red_Dead_Redemption_2,normal,,late,0.7593,What game series were predicted to avoid competing with Red Dead Redemption 2 by releasing their 2018 entries earlier than usual?
117,Irish_elk,normal,,mid,0.4287,What color was the hump on the withers of the Irish elk?
118,Bronson_Koenig,anomalous,untiered,lead,0.3042,What does Bronson Koenig prefer during high-pressure game moments?
119,Eurasian_magpie,anomalous,untiered,late,0.8178,"What has led to the Eurasian magpie being persecuted, according to the passage?"
